,move_00,move_1,rotate_angle,gACT,gMOD,gGTO,gSTA,gIMC,gFLT,gPRE,tcp_force,success,isDoll
2049,"p[-0.444967,-0.0853425,0.52,-0.3,3.14,0]","p[-0.35629,-0.053503,0.52,-0.3,3.14,0]",-2.06215,1,0,1,3,3,0,255,"p[-3.90558,-19.7881,16.8403,2.81512,-4.07784,-0.576587]",0,1.0
2050,"p[-0.425898,0.173179,0.52,-0.3,3.14,0]","p[-0.564613,-0.178038,0.52,-0.3,3.14,0]",-1.23581,1,0,1,3,3,0,255,"p[-6.17597,-11.6557,15.3647,2.44156,-1.02091,-0.818856]",0,1.0
2051,"p[-0.466415,0.245613,0.52,-0.3,3.14,0]","p[-0.516914,0.143188,0.52,-0.3,3.14,0]",-1.62698,1,0,1,1,3,0,255,"p[-14.6415,-7.40013,20.3577,-0.0654452,-4.65343,-1.17126]",0,1.0
2052,"p[-0.349392,0.211772,0.52,-0.3,3.14,0]","p[-0.530407,0.202655,0.52,-0.3,3.14,0]",-0.667875,1,0,1,2,3,0,255,"p[-12.5738,-2.40303,16.2438,-1.72556,-2.92387,-0.850403]",1,1.0
2053,"p[-0.635121,-0.16535,0.52,-0.3,3.14,0]","p[-0.46335,-0.0954407,0.52,-0.3,3.14,0]",0.214539,1,0,1,3,3,0,255,"p[-8.60949,-11.1198,16.6021,1.13497,-1.43445,-0.572454]",0,1.0
2054,"p[-0.40659,-0.182352,0.52,-0.3,3.14,0]","p[-0.574086,0.0513041,0.52,-0.3,3.14,0]",0.511294,1,0,1,3,3,0,255,"p[-21.9011,-1.07055,21.3421,0.0384195,-5.32661,-0.898634]",0,1.0
2055,"p[-0.602546,0.245429,0.52,-0.3,3.14,0]","p[-0.638467,-0.109967,0.52,-0.3,3.14,0]",2.64858,1,0,1,1,3,0,255,"p[-22.5674,-9.78871,18.9702,1.53236,-3.16277,-0.646877]",0,1.0
2056,"p[-0.487647,0.188033,0.52,-0.3,3.14,0]","p[-0.378563,0.0572449,0.52,-0.3,3.14,0]",-0.602609,1,0,1,3,3,0,255,"p[-15.4284,-10.6111,20.5318,1.24954,-3.59999,-1.46077]",0,1.0
2057,"p[-0.515677,-0.0674996,0.52,-0.3,3.14,0]","p[-0.60717,-0.00312504,0.52,-0.3,3.14,0]",0.887675,1,0,1,1,3,0,255,"p[-24.5443,-11.1143,19.4379,1.96066,-4.07519,-1.98663]",1,1.0
2058,"p[-0.562393,0.126599,0.52,-0.3,3.14,0]","p[-0.383184,0.229506,0.52,-0.3,3.14,0]",-0.323223,1,0,1,3,3,0,255,"p[-19.276,-9.40533,15.9967,0.852403,-3.5775,-2.31891]",0,1.0
