,move_00,move_1,rotate_angle,gACT,gMOD,gGTO,gSTA,gIMC,gFLT,gPRE,tcp_force,success
6922,"p[-0.52157,-0.285911,0.5,1.5708,-2.7925,0]","p[-0.408094,-0.445557,0.50006,-1.50966,2.68395,9.055e-05]",-1.73861,1,0,1,3,3,0,255,"p[-9.94148,-22.9924,8.8283,3.20989,-1.58531,-0.665605]",0
6923,"p[-0.420194,-0.379633,0.5,1.5708,-2.7925,0]","p[-0.408094,-0.445557,0.500015,-1.50975,2.68366,-0.000200811]",-1.88754,1,0,1,3,3,0,255,"p[-8.42381,-21.936,8.25657,2.93658,-1.90123,-0.214762]",0
6924,"p[-0.458415,-0.200582,0.5,1.5708,-2.7925,0]","p[-0.408094,-0.445557,0.500008,-1.50979,2.68379,-4.99658e-05]",1.92306,1,0,1,3,3,0,255,"p[-9.45364,-19.6071,4.4524,1.63542,-0.198946,-0.320802]",0
6925,"p[-0.39106,-0.338097,0.5,1.5708,-2.7925,0]","p[-0.408094,-0.445557,0.499951,-1.50959,2.68364,-1.44729e-05]",3.05637,1,0,1,3,3,0,255,"p[-9.86151,-23.0214,9.264,3.25574,-1.9197,-0.659107]",0
6926,"p[-0.332725,-0.321663,0.5,1.5708,-2.7925,0]","p[-0.408094,-0.445557,0.499984,-1.50972,2.68378,-0.000107404]",-1.03084,1,0,1,3,3,0,255,"p[-8.20897,-22.9097,6.29593,2.80765,-0.512055,-0.740311]",0
6927,"p[-0.507193,-0.347296,0.5,1.5708,-2.7925,0]","p[-0.408094,-0.445557,0.499981,-1.50969,2.68362,-6.2008e-05]",2.89411,1,0,1,3,3,0,255,"p[-11.6596,-25.4984,10.8507,3.43203,-2.27395,-0.344407]",0
6928,"p[-0.352447,-0.363341,0.5,1.5708,-2.7925,0]","p[-0.408094,-0.445557,0.49996,-1.50953,2.68382,-0.0001007]",2.21292,1,0,1,3,3,0,255,"p[-6.31679,-21.5838,2.90683,1.88199,0.344159,-1.85827]",0
6929,"p[-0.392216,-0.235901,0.5,1.5708,-2.7925,0]","p[-0.408094,-0.445557,0.49994,-1.50956,2.68359,-2.52813e-07]",1.10899,1,0,1,3,3,0,255,"p[-8.04449,-22.5467,2.49229,1.4269,0.511598,-1.21629]",0
6930,"p[-0.312173,-0.332708,0.5,1.5708,-2.7925,0]","p[-0.408094,-0.445557,0.499986,-1.5097,2.68372,-9.96196e-05]",2.78201,1,0,1,3,3,0,255,"p[-15.2787,-14.8248,6.48791,2.10483,-1.5071,-0.205995]",0
6931,"p[-0.547239,-0.301773,0.5,1.5708,-2.7925,0]","p[-0.408094,-0.445557,0.500064,-1.50987,2.68387,-0.000176373]",-1.86889,1,0,1,3,3,0,255,"p[-13.2288,-22.8844,10.2069,3.13657,-2.33412,-0.0298444]",0
6932,"p[-0.375936,-0.504007,0.5,1.5708,-2.7925,0]","p[-0.408094,-0.445557,0.499945,-1.50961,2.68372,-0.000222593]",-1.7854,1,0,1,3,3,0,255,"p[-8.65966,-28.9946,11.7117,4.30827,-1.76756,-1.45644]",0
6933,"p[-0.383981,-0.417174,0.5,1.5708,-2.7925,0]","p[-0.408094,-0.445557,0.499959,-1.50961,2.68367,-0.000135337]",1.52455,1,0,1,3,3,0,255,"p[-8.52548,-23.1741,4.78164,2.14489,-0.115811,-0.621141]",0
6934,"p[-0.488783,-0.280218,0.5,1.5708,-2.7925,0]","p[-0.408094,-0.445557,0.499933,-1.50984,2.68353,2.05875e-05]",-2.73879,1,0,1,3,3,0,255,"p[-8.2277,-22.348,6.61505,2.84201,-1.29486,-1.05103]",0
6935,"p[-0.384517,-0.545983,0.5,1.5708,-2.7925,0]","p[-0.408094,-0.445557,0.500002,-1.50952,2.68377,-0.000133587]",-0.367051,1,0,1,3,3,0,255,"p[-8.56198,-29.2247,12.5952,4.08978,-1.24532,-1.32334]",0
6936,"p[-0.407283,-0.227945,0.5,1.5708,-2.7925,0]","p[-0.408094,-0.445557,0.499977,-1.50968,2.68367,-6.52998e-05]",0.83098,1,0,1,3,3,0,255,"p[-6.46876,-23.3786,3.80637,2.1087,0.28039,-1.67524]",0
6937,"p[-0.444783,-0.19058,0.5,1.5708,-2.7925,0]","p[-0.408094,-0.445557,0.499979,-1.50972,2.68366,-4.8229e-05]",1.35774,1,0,1,3,3,0,255,"p[-10.4966,-21.3636,4.53642,1.6476,-0.123442,0.271997]",0
